mail.ru,mail.ru/,Почта Mail.Ru,24269065,76
kp,kp.ru,Комсомольская правда-Digital,18958733,77
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,18030571,75
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,17667802,85
Lenta,lenta.ru,Lenta.Ru,13673955,88
mic_izvestia,iz.ru,Известия,13062299,80
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,10710207,80
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",10552316,84
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,10483183,86
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,9695792,89
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,8051607,86
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,7915379,65
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,7822085,83
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,7603985,83
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,7577189,82
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,6875223,80
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,6874079,81
russian.rt.com,russian.rt.com/,RT на русском,6517625,87
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,6215089,80
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,6213137,70
primpress.ru,primpress.ru/,PRIMPRESS.RU,5574240,77
TASS_total,tass.ru,ТАСС - Новости в России и мире,5228587,87
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",5177210,86
rugion,rugion.ru/,Сеть региональных сайтов &quot;Ругион&quot;,4916262,88
kp/sportkpru,sportkp.ru,SPORTKP.RU - Спорт и не только,4692850,65
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,4389392,66
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),4328933,86
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,4276205,81
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,4005822,69
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,4001372,78
vzsar.ru,vzsar.ru/,Взгляд. Саратов,252957,94
relasko.ru,relasko.ru/,Системы отопления газо и водоснабжения,252388,89
alloygroup,www.reklama.alloy.ru,Сеть торговых площадок Alloy.ru (размести товары бесплатно!),252226,94
kp/kpall/reg/kpural,ural.kp.ru,&quot;Комсомольская правда&quot; Екатеринбург,251826,93
aif.ru/money,aif.ru/money/,АИФ Деньги,251770,85
hitster.fm,hitster.fm/,Hitster fm,251623,62
myslo.ru,myslo.ru/,Слобода - самая популярная газета Тулы. Новости Тулы и области. Афиша Тулы.,250740,96
domkadrov.ru,www.domkadrov.ru/,"ДомКадров.ру - поиск работы, поиск сотрудников",250676,92
78.ru,78.ru/,Городской портал 78.ru,250427,92
gorod48.ru,gorod48.ru/,Gorod48.ru - все новости Липецка онлайн,247130,99
soccer.ru,www.soccer.ru/,"Soccer.Ru - новости футбола, аналитика",245999,71
konkurent.ru,konkurent.ru/,KONKURENT.RU,244824,94
bloknot.ru,bloknot.ru/,Блокнот,244475,74
v-kosmose.com,v-kosmose.com/,Все факты о космосе,243995,69
fermilon.ru,fermilon.ru/,"Фермилон - фермерство, домашнее хозяйство, дача",241465,74
amicru,amic.ru,Информационное агентство Амител,241013,91
spbdnevnik.ru,www.spbdnevnik.ru/,«Петербургский дневник» — официальное издание правительства Санкт-Петербурга,240733,90
hsdigital/rn/realty,realty.ngs.ru,N1.RU — НЕДВИЖИМОСТЬ / Hearst Shkulev Digital (E1+NGS+74+N1),239437,95
ucrazy.ru,ucrazy.ru/,uCrazy.ru - Источник Хорошего Настроения,238549,84
citaty.info,citaty.info/,Citaty.info - цитаты на любой вкус,237527,57
wikiway.com,wikiway.com/,wikiway.com – путеводитель по странам мира,237392,81
katti.ucoz.ru,www.katti.ucoz.ru/,Интернет-сообщество учителей,237219,79
bigpicture.ru,bigpicture.ru/,BigPicture.ru - Новости в фотографиях,236303,55
1gai.ru,1gai.ru/,"1гаи.ру - Интернет издание для тех, кто любит все, что движется",235562,79
pg21.ru,pg21.ru/,Портал PRO Город Чебоксары и Новочебоксарск,233919,90
trial-sport.ru,trial-sport.ru/,"Триал-Спорт. Горные лыжи, сноуборды, велосипеды, ролики, туризм.",233316,94
kp/kpall/reg/kpstav,stav.kp.ru,&quot;Комсомольская правда&quot; Ставрополь. Северный Кавказ,232771,91
mo.tsargrad.tv,mo.tsargrad.tv/,Царьград Подмосковье,232012,96
legalacts.ru,legalacts.ru/,"Законы, кодексы и нормативно-правовые акты в Российской Федерации",231994,95
libking.ru,libking.ru/,Книги читать онлайн,231688,79
2gis/online/ru/stavropol,2gis.ru,"Карта Ставрополя: улицы, дома и организации города — 2ГИС",63823,95
libertycity.ru,www.libertycity.ru/,"LibertyCity.Ru — Новости GTA 6, моды для GTA San Andreas, GTA 5, GTA 4",63733,37
19rusinfo.ru,19rusinfo.ru/,ИА Хакасия,63638,95
torrent-repack.club,torrent-repack.club/,Игры от механиков,63637,63
nn.tsargrad.tv,nn.tsargrad.tv/,Царьград Нижний Новгород,63606,97
takzdorovo.ru,www.takzdorovo.ru/,Здоровая Россия,63538,92
zvooq-knigi.ru,zvooq-knigi.ru/,Аудиокниги слушать онлайн,63395,79
volgograd.hh.ru,volgograd.hh.ru/,Работа в Волгограде на HeadHunter,63342,96
smolensk-i.ru,smolensk-i.ru/,Информагентство &quot;О чем говорит Смоленск&quot;,63245,96
kommersant-SPB,kommersant.ru/regions/78,Коммерсантъ Санкт-Петербург,63123,91
psychologos.ru,psychologos.ru/,Психологос,63087,61
marketsakhcom.ru,marketsakhcom.ru/,Объявления Sakh.com,62988,92
NewsDroup,ekb-on-air.ru/,"Группа сайтов новостей: Уфа, Пермь, Омск, С.-Петербург, Екатеринбург",62982,97
r-hockey.ru,r-hockey.ru/,R-Hockey - Вся хоккейная статистика,62959,85
k1news.ru,k1news.ru/,K1NEWS | Главный портал Костромы,62860,97
2gis/online/ru/astrakhan,2gis.ru,"Карта Астрахани: улицы, дома и организации города — 2ГИС",62851,95
video.sibnet.ru,video.sibnet.ru/,Sibnet - Видео,62804,70
window.edu.ru,window.edu.ru/,Единое окно доступа к образовательным ресурсам. Электронная библиотека,62654,77
brusnika.ru,brusnika.ru/,"Застройщик Брусника, официальный сайт",62609,92
en365ru,www.en365.ru/,Английский язык онлайн бесплатно,62420,90
lektsia.com,lektsia.com/,Лекция,62376,85
vjoy.cc,vjoy.cc/,vjoy.cc - прикольные и развлекательные картинки,62260,59
russian.rt.com/science,russian.rt.com/science/,Наука - RT на русском,62249,84
newsomsk.ru,newsomsk.ru/,Newsomsk.ru - Новости Омска и Омской области,62226,94
kazved.ru,kazved.ru/,&quot;Казанские ведомости&quot;,62117,92
sdamna5.ru,www.sdamna5.ru/,Учебные материалы для школьников и студентов по литературе бесплатно,62109,71
chto-takoe-lyubov.net,chto-takoe-lyubov.net/,Что такое любовь,62078,61
Investfunds_RU,investfunds.ru,investfunds,61939,88
mr7group,mr7.ru,Мой Район,61810,90
dogovor-urist.ru,dogovor-urist.ru/,Договор-Юрист.Ру,61797,94
oren.aif.ru,oren.aif.ru/,АиФ Оренбург,32322,95
2gis/online/ru/syktyvkar,2gis.ru,"Карта Сыктывкара: улицы, дома и организации города — 2ГИС",32301,98
cossa.ru,www.cossa.ru/,Cossa.ru: лучшее из мира digital-маркетинга и рекламы,32255,77
bazaman.ru,bazaman.ru/,bazaman,44116,75
orabote.biz,orabote.biz/,Отзывы о работе и работодателях,32249,93
astro7.ru,astro7.ru/,Astro7.ru,44113,77
white-windows.ru,www.white-windows.ru/,Белые окошки,32241,81
avtomarket.ru,avtomarket.ru/,aVtomarket.ru,44099,39
ruwapa.net,ruwapa.net/,Скачать книги,32214,81
naruto-base.tv,naruto-base.tv/,Наруто Ураганные Хроники - Naruto-Base.Tv,44095,62
,32207,91
thelib.ru,thelib.ru/,Бесплатная электронная библиотека TheLib.RU,32191,81
newsvladimir.ru,newsvladimir.ru/,«Владимирские новости»,44064,97
lektsii.com,lektsii.com/,Лекции.Ком,32158,71
RBCRU/KALININGRAD,kaliningrad.rbc.ru,РБК - РосБизнесКонсалтинг - Калининград,43897,96
arbitr-praktika.ru,arbitr-praktika.ru/,Арбитражная практика,32147,93
mnogo.ru,www.mnogo.ru/,"Клуб Много.ру - бонусы, скидки, призы в предприятиях клуба!",32145,91
news.novo-sibirsk.ru,news.novo-sibirsk.ru/,Новосибирские новости,43846,90
tvtambov.ru,tvtambov.ru/,Сайт телекомпании Новый Век Тамбов,32117,97
kurs.vip,kurs.vip/,Курсы валют в России — kurs.vip Курс валют в банках РФ,43811,92
game01.ru,www.game01.ru/,Игры на game01.ru,32111,84
yarreg.ru,yarreg.ru/,Ярославский регион / Новости Ярославля,43785,95
kidshockey.ru,kidshockey.ru/,"KidsHockey - детский, юношеский и любительский хоккей России.",32031,90
ekabu.ru,ekabu.ru/,Екабу - развлекательный портал регионов России,43762,83
prado-club.su/forum,www.prado-club.su/forum/,"http://prado-club.net, http://prado-club.org, http://prado-club.info",32024,78
passat-b5.ru,passat-b5.ru/,Passat B5 CLUB,43720,67
